endTime,artistName,trackName,msPlayed
2023-11-26 07:17,Yusef Lateef,Eastern Market,259400
2023-11-26 07:43,Mulatu Astatke,Yèkèrmo Sèw,1146
2023-11-26 08:07,Mulatu Astatke,Yèkèrmo Sèw,252461
2023-11-26 08:11,Yusef Lateef,Buddy and Lou,192466
2023-11-26 08:16,Yusef Lateef,Juba Juba - Remastered,263173
2023-11-26 08:22,Miles Davis Quintet,It Never Entered My Mind,323186
2023-11-26 08:25,Dizzy Gillespie,All The Things You Are,169506
2023-11-26 08:32,Mulatu Astatke,Tezeta,368539
2023-11-26 08:34,Yusef Lateef,Bishop School,89847
2023-11-26 08:35,Erik Satie,"3 Gymnopédies: No. 1, Lent et douloureux",3056
2023-11-26 08:35,Philip Glass,"The Hours: An Unwelcome Friend (From ""The Hours"")",1614
2023-11-26 08:36,Philip Glass,Opening,35973
2023-11-26 08:36,Mahavishnu Orchestra,Birds Of Fire,984
2023-11-26 08:36,Bill Frisell,Rumble,1510
2023-11-26 08:36,Bill Frisell,Surfer Girl,2463
2023-11-26 08:36,Jean-Luc Ponty,Cosmic Messenger,1327
2023-11-26 08:39,Jethro Tull,Bourée,208397
2023-11-26 08:43,The Black Crowes,Jealous Again,4887
2023-11-26 08:47,The Rolling Stones,Bite My Head Off,211597
2023-11-26 08:58,The Rolling Stones,Mess It Up,40083
2023-11-27 06:15,Traffic,Nowhere Is Their Freedom,420426
2023-11-27 06:18,The Peanut Butter Conspiracy,Flight of the Psychedelic Bumble Bee,122666
2023-11-27 06:21,Quicksilver Messenger Service,Who Do You Love - Pt. 1,212733
2023-11-27 06:25,Mick Jagger,Wandering Spirit,258933
2023-11-27 06:30,The Black Crowes,Sometimes Salvation,284000
2023-11-27 06:34,Mick Jagger,I've Been Lonely For So Long,209160
2023-11-27 06:38,The Black Crowes,Jealous Again,275066
2023-11-27 06:42,Fleetwood Mac,Sunny Side of Heaven,190666
2023-11-27 06:46,The Yardbirds,White Summer - 2003 Remaster,236466
2023-11-27 06:57,Mick Jagger,Think,18316
2023-11-27 07:27,Kaleidoscope,Egyptian Garden,945
2023-11-27 07:27,Mick Jagger,Think,5671
2023-11-27 07:27,John McLaughlin,Peace One,1407
2023-11-27 07:28,The Black Crowes,Sting Me,8703
2023-11-27 07:39,Frank Zappa,Sexual Harassment In The Workplace,1355
2023-11-28 06:07,The Doors,Roadhouse Blues,32352
2023-11-28 06:11,The Rolling Stones,Live By The Sword,239001
2023-11-28 06:17,The Mothers Of Invention,Trouble Every Day,350053
2023-11-28 06:21,Mick Jagger,Wandering Spirit,258933
2023-11-28 06:25,Mulatu Astatke,Yèkèrmo Sèw,253386
2023-11-28 06:30,Pearl Jam,Corduroy - Remastered,277586
2023-11-28 06:35,Peter Green,Just for You,276160
2023-11-28 06:39,The Black Crowes,Sometimes Salvation,284000
2023-11-28 06:50,"Blood, Sweat & Tears","Variation on a Theme by Erik Satie (1st Movement - Adapted from ""Trois Gymnopedies"")",99893
2023-11-28 06:57,Traffic,Nowhere Is Their Freedom,420426
2023-11-28 07:00,The Peanut Butter Conspiracy,Flight of the Psychedelic Bumble Bee,122666
2023-11-28 07:03,Mick Jagger,Think,179053
2023-11-28 07:08,The Black Crowes,Sting Me,280133
2023-11-28 07:08,Mick Jagger,I've Been Lonely For So Long,9138
2023-11-28 07:15,Herbie Mann,Memphis Underground,429000
2023-11-28 07:20,The Black Crowes,Jealous Again,275066
2023-11-28 07:23,Yusef Lateef,Buddy and Lou,192466
2023-11-28 07:37,Yusef Lateef,Nubian Lady - 1972,230195
2023-11-28 08:49,The Rolling Stones,Dreamy Skies,1619
