,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track,artist
2050,0.502,0.49,10,-10.516,1,0.0502,0.353,0.00806,0.23,0.302,79.383,audio_features,5ygQD0fcj0vRGx9KUBENtT,spotify:track:5ygQD0fcj0vRGx9KUBENtT,https://api.spotify.com/v1/tracks/5ygQD0fcj0vRGx9KUBENtT,https://api.spotify.com/v1/audio-analysis/5ygQD0fcj0vRGx9KUBENtT,200733,4,The Wind Cries Mary,Jimi Hendrix
2051,0.816,0.514,10,-8.741,1,0.0339,0.767,0.949,0.0899,0.912,136.837,audio_features,4fQMGlCawbTkH9yPPZ49kP,spotify:track:4fQMGlCawbTkH9yPPZ49kP,https://api.spotify.com/v1/tracks/4fQMGlCawbTkH9yPPZ49kP,https://api.spotify.com/v1/audio-analysis/4fQMGlCawbTkH9yPPZ49kP,176333,4,Green Onions,Booker T. & the M.G.'s
2061,0.63,0.396,0,-14.73,1,0.039,0.572,2.65e-05,0.083,0.604,88.699,audio_features,0JuW3zVUYjyW5BbtXq2to6,spotify:track:0JuW3zVUYjyW5BbtXq2to6,https://api.spotify.com/v1/tracks/0JuW3zVUYjyW5BbtXq2to6,https://api.spotify.com/v1/audio-analysis/0JuW3zVUYjyW5BbtXq2to6,190933,4,I Am Waiting,The Rolling Stones
2068,0.484,0.165,7,-18.568,1,0.0498,0.728,1.19e-06,0.115,0.193,159.174,audio_features,1yKQBy7olMIqRpziyAzf8c,spotify:track:1yKQBy7olMIqRpziyAzf8c,https://api.spotify.com/v1/tracks/1yKQBy7olMIqRpziyAzf8c,https://api.spotify.com/v1/audio-analysis/1yKQBy7olMIqRpziyAzf8c,227933,3,Working Class Hero - Remastered 2010,John Lennon
2069,0.628,0.931,9,-9.973,1,0.0968,0.000689,0.00146,0.0997,0.144,119.976,audio_features,2BkXpZSvPoUDMLI2Xw9kAL,spotify:track:2BkXpZSvPoUDMLI2Xw9kAL,https://api.spotify.com/v1/tracks/2BkXpZSvPoUDMLI2Xw9kAL,https://api.spotify.com/v1/audio-analysis/2BkXpZSvPoUDMLI2Xw9kAL,200653,4,Instant Karma! (We All Shine On) - Remastered 2010,John Lennon
2071,0.488,0.942,10,-3.334,0,0.0959,0.269,0.000238,0.077,0.836,157.569,audio_features,4EjspLdRK1hTRjCpB5XUO3,spotify:track:4EjspLdRK1hTRjCpB5XUO3,https://api.spotify.com/v1/tracks/4EjspLdRK1hTRjCpB5XUO3,https://api.spotify.com/v1/audio-analysis/4EjspLdRK1hTRjCpB5XUO3,193160,4,I Could Have Stood You Up - 2019 Remaster,Keith Richards
2072,0.519,0.787,1,-6.285,1,0.0273,0.00849,3.09e-06,0.107,0.616,152.013,audio_features,10ksqrWHRkFHAdD9Nggalm,spotify:track:10ksqrWHRkFHAdD9Nggalm,https://api.spotify.com/v1/tracks/10ksqrWHRkFHAdD9Nggalm,https://api.spotify.com/v1/audio-analysis/10ksqrWHRkFHAdD9Nggalm,320280,4,Infallible,Pearl Jam
2073,0.672,0.556,0,-12.147,1,0.0433,0.518,0.00498,0.0904,0.627,119.629,audio_features,2bD8JWzDBOnSeUcsjVU2SD,spotify:track:2bD8JWzDBOnSeUcsjVU2SD,https://api.spotify.com/v1/tracks/2bD8JWzDBOnSeUcsjVU2SD,https://api.spotify.com/v1/audio-analysis/2bD8JWzDBOnSeUcsjVU2SD,233800,4,Half Moon,Janis Joplin
2079,0.653,0.884,5,-6.336,1,0.0446,0.0113,0.000851,0.0818,0.58,108.766,audio_features,2sxJd1nrbXwezsbV69ZZWZ,spotify:track:2sxJd1nrbXwezsbV69ZZWZ,https://api.spotify.com/v1/tracks/2sxJd1nrbXwezsbV69ZZWZ,https://api.spotify.com/v1/audio-analysis/2sxJd1nrbXwezsbV69ZZWZ,230493,4,Ruby Dear,Talking Heads
2082,0.666,0.682,4,-7.789,1,0.0298,0.0375,0.912,0.256,0.953,97.849,audio_features,6QswKScFURI1x3gZ9isXK7,spotify:track:6QswKScFURI1x3gZ9isXK7,https://api.spotify.com/v1/tracks/6QswKScFURI1x3gZ9isXK7,https://api.spotify.com/v1/audio-analysis/6QswKScFURI1x3gZ9isXK7,151813,4,Now I've Got A Witness,The Rolling Stones
2085,0.484,0.486,8,-12.561,1,0.0681,0.276,0.000219,0.338,0.532,130.924,audio_features,1Z6Yxm3WpEJRkE0tGLr31y,spotify:track:1Z6Yxm3WpEJRkE0tGLr31y,https://api.spotify.com/v1/tracks/1Z6Yxm3WpEJRkE0tGLr31y,https://api.spotify.com/v1/audio-analysis/1Z6Yxm3WpEJRkE0tGLr31y,418246,4,Mr. P.C. - Mono,John Coltrane
2086,0.54,0.681,4,-5.44,1,0.0508,0.808,0.0,0.162,0.794,88.385,audio_features,5yQ9iMZXGcr5rlO4hoLsP4,spotify:track:5yQ9iMZXGcr5rlO4hoLsP4,https://api.spotify.com/v1/tracks/5yQ9iMZXGcr5rlO4hoLsP4,https://api.spotify.com/v1/audio-analysis/5yQ9iMZXGcr5rlO4hoLsP4,307053,4,"What'd I Say, Pt. 1 & 2",Ray Charles
2087,0.277,0.242,4,-18.442,1,0.0342,0.694,0.464,0.113,0.285,175.384,audio_features,3ZikLQCnH3SIswlGENBcKe,spotify:track:3ZikLQCnH3SIswlGENBcKe,https://api.spotify.com/v1/tracks/3ZikLQCnH3SIswlGENBcKe,https://api.spotify.com/v1/audio-analysis/3ZikLQCnH3SIswlGENBcKe,824133,3,My Favorite Things,John Coltrane
2090,0.433,0.631,5,-9.381,1,0.0458,0.199,0.0,0.271,0.654,129.493,audio_features,6aNnVdpAQu8R0qGq5NMXyZ,spotify:track:6aNnVdpAQu8R0qGq5NMXyZ,https://api.spotify.com/v1/tracks/6aNnVdpAQu8R0qGq5NMXyZ,https://api.spotify.com/v1/audio-analysis/6aNnVdpAQu8R0qGq5NMXyZ,282600,4,Take The Coltrane,Duke Ellington
2092,0.747,0.672,7,-10.867,1,0.112,0.187,0.0459,0.122,0.742,137.392,audio_features,1QY4TdhuNIOX2SHLdElzd5,spotify:track:1QY4TdhuNIOX2SHLdElzd5,https://api.spotify.com/v1/tracks/1QY4TdhuNIOX2SHLdElzd5,https://api.spotify.com/v1/audio-analysis/1QY4TdhuNIOX2SHLdElzd5,125320,1,Don't Eat The Yellow Snow,Frank Zappa
2101,0.885,0.393,2,-11.095,1,0.386,0.774,0.0,0.213,0.932,140.228,audio_features,5cDlhNkYoPRy8GQLf5bn88,spotify:track:5cDlhNkYoPRy8GQLf5bn88,https://api.spotify.com/v1/tracks/5cDlhNkYoPRy8GQLf5bn88,https://api.spotify.com/v1/audio-analysis/5cDlhNkYoPRy8GQLf5bn88,172714,4,Additionstheoreme,DorFuchs
