artist,track
The Beatles,Tomorrow Never Knows - Remastered 2009
Miles Davis,Tomaas
Grateful Dead,Dark Star - Single Version; 2001 Remaster
Steppenwolf,Magic Carpet Ride
Triumvirat,Be Home For Tea - Edit
Premiata Forneria Marconi,Introduzione
Philip Glass,Facades
Philip Glass,Dance IX
Philip Glass Ensemble,Knee 5
Terry Riley,Church of Anthrax
Tangerine Dream,Hyperborea
Tangerine Dream,Betrayal (Sorcerer Theme)
Tangerine Dream,The Big Sleep In Search Of Hades
Tangerine Dream,Stratosfear
Tangerine Dream,Rubycon - Pt. 1 / Remastered 2018
